Brand,Product,Viscosity,API,ACEA,JASO,VehicleTypes,FuelTypes,minCylinders,maxCylinders,minPower,maxPower,DPFCompatible,TurboCompatible,HybridCompatible,OEMApprovals,Applications,OfficialSource,TDS_URL
Shell,Helix Ultra 5W-30,5W-30,SL/CF;SN/CF,A3/B3;A3/B4,-,Automobile,Essence;Diesel;LPG;Ethanol,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,BMW LL-01;MB 229.5/226.5;VW 502.00/505.00;Renault RN0700/RN0710,"Passenger cars;SUVs;Light vehicles;Fuel economy applications",https://www.shell.com/motorist/oils-lubricants/helix-for-cars/shell-helix-ultra/shell-helix-ultra-5w-30.html,https://www.epc.shell.com/DocumentManagement/BlobDocumentDownload?DocId=12092258
Shell,Helix Ultra ECT 5W-30,5W-30,SN/CF,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,VW 504 00/507 00;BMW LL-04;MB 229.51,"Passenger cars;SUVs;Light commercial vehicles with DPF/FAP",https://www.epc.shell.com/DocumentRetrieve?documentId=124570635&docType=.pdf,https://www.qualitybearingsonline.com/content/Lubricants/MSDS%20and%20TDS%20PDFs/Shell/Shell%20Helix%20Ultra%20ECT%205W-30%20TDS
Shell,Helix HX8 ECT 5W-40,5W-40,SN,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 229.31/229.51;BMW LL-04;Renault RN0700/0710;GM dexos2;Fiat 955535-S2,"Passenger cars;SUVs;Light vehicles with DPF;Emissions-compatible",https://www.shell-livedocs.com/data/published/en-GB/927dbf48-b590-47bf-a6bd-dde36c805a53.pdf,https://www.epc.shell.com/DocumentRetrieve?documentId=131273369&docType=.pdf
Shell,Advance AX7 10W-40,10W-40,SL,MA2,MA2,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,JASO MA2,"Motorcycles;4-stroke;High performance;Wet clutch;Manual transmission;Off-road;Street",https://www.shell.co.za/motorists/oils-lubricants/advance-for-motorcycles/advance-4-stroke-motorcycle-oil.html,https://www.scribd.com/document/624360664/TDS-Advance-4T-AX7-10W-40-SLMA2
Shell,Advance SX 2,NA,NA,FB,FB,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,JASO FB;ISO-L-EGB,"Two-stroke motorcycles;Oil injection;Premix systems;Air-cooled;Water-cooled;Off-road",https://www.shell.co.za/motorists/oils-lubricants/advance-for-motorcycles/advance-4-stroke-motorcycle-oil/_jcr_content/root/main,https://www.shell.co.za/motorists/oils-lubricants/advance-for-motorcycles/advance-4-stroke-motorcycle-oil/_jcr_content/root/main
Shell,Rotella T4 Triple Protection 15W-40,15W-40,NA,NA,-,Poids Lourd;Agricole,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,NA,"Heavy-duty diesel engines;Severe duty;EGR engines;DPF equipped;Agricultural;Mining;Logging;Construction;Pick-up trucks;SUVs;Commercial vehicles",https://shop.sclubricants.com/pub/media/pds/shell/Shell-Rotella-T4-Triple-Protection-15W-40-datasheet.pdf,https://shop.sclubricants.com/pub/media/pds/shell/Shell-Rotella-T4-Triple-Protection-15W-40-datasheet.pdf
Shell,Rimula MV 15W-40,15W-40,CH-4/SJ,NA,-,Poids Lourd;Agricole,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,NA,"Heavy-duty trucks;Buses;Off-highway;Agricultural machinery;Construction equipment;Mining trucks;Logging equipment;EGR engines;DPF compatible",https://www.epc.shell.com/DocumentManagement/BlobDocumentDownload?DocId=103061169,https://www.epc.shell.com/DocumentRetrieve?documentId=127051496&docType=.pdf
Shell,Rimula R4 Multi 10W-30,10W-30,NA,NA,-,Poids Lourd;Agricole,Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,NA,"Heavy-duty trucks;Buses;Commercial vehicles;Agricultural tractors;Mining equipment;Off-highway;Construction;Fuel economy",https://www.shell-livedocs.com/data/published/en-GB/49a9f4aa-3815-46dd-a6de-8c0056291bec.pdf,https://www.epc.shell.com/DocumentRetrieve?documentId=127051496&docType=.pdf
Shell,Rimula R7 ADD 10W-30,10W-30,NA,NA,-,Poids Lourd,Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,NA,"Heavy-duty trucks;Buses;Low HTHSV fuel economy applications;Extended drain intervals;Commercial fleet",https://www.shell-livedocs.com/data/published/en-AU/369e652c-7e64-43f5-8971-d0c06df507ae.pdf,https://www.epc.shell.com/DocumentRetrieve?documentId=127051496&docType=.pdf
Shell,Helix Ultra Professional AG 5W-30,5W-30,NA,NA,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,VW 504 00/507 00;BMW LL-04;MB 229.51;Porsche C30;Renault RN0700/0710,"VW Group;Audi;Porsche;BMW;Mercedes-Benz;Renault;European passenger cars;Long-life service",https://www.epc.shell.com/DocumentRetrieve?documentId=95895254,https://www.epc.shell.com/DocumentRetrieve?documentId=95895254
Shell,Helix Ultra Professional AV-L 5W-30,5W-30,NA,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 229.51/229.31;BMW LL-04;VW 504 00/507 00;Porsche C30;Renault RN0700/0710,"Mercedes-Benz;BMW;VW Group;Audi;Porsche;Renault;Volvo;Jaguar Land Rover;DPF compatible",https://www.epc.shell.com/DocumentRetrieve?documentId=124570635&docType=.pdf,https://www.epc.shell.com/DocumentRetrieve?documentId=124570635&docType=.pdf
Shell,Helix Ultra ECT C5 5W-30,5W-30,NA,C5,-,Automobile,Essence;Diesel;Hybrid,NULL,NULL,NULL,NULL,TRUE,TRUE,TRUE,MB 229.52;Ford WSS-M2C950-A1;Jaguar Land Rover STJLR 03.5005;Volvo RBS0-2AE,"Mercedes-Benz;Ford;Jaguar;Land Rover;Volvo;Hybrid vehicles;Fuel economy;Low viscosity",https://www.epc.shell.com/DocumentRetrieve?documentId=124570635&docType=.pdf,https://www.epc.shell.com/DocumentRetrieve?documentId=124570635&docType=.pdf
Shell,Helix Ultra SN 5W-20,5W-20,SN,NA,-,Automobile,Essence;Hybrid,NULL,NULL,NULL,NULL,FALSE,FALSE,TRUE,Ford WSS-M2C946-A/B1;Honda;Toyota;Nissan;Mazda;Subaru;Hyundai;Kia;GM dexos1,"Ford;Honda;Toyota;Nissan;Mazda;Subaru;Hyundai;Kia;GM;Passenger cars;SUVs;Hybrid vehicles",https://www.shell.com.pk/motorists/oils-lubricants/helix-for-cars/helix-fully-synthetic/shell-helix-ultra-sn-5w-201/_jcr_content,https://www.shell.com.pk/motorists/oils-lubricants/helix-for-cars/helix-fully-synthetic/shell-helix-ultra-sn-5w-201/_jcr_content
Shell,Rotella T6 5W-40,5W-40,FA-4/CJ-4,NA,-,Poids Lourd;Agricole,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,Cummins 20081;Detroit 7SE270;Volvo VDS-4.5;MAN 3575;MB 228.51;MTU Type 3.1;CAT ECF-3;JASO DH-2,"Heavy-duty trucks;Buses;Agricultural equipment;Construction machinery;Mining;Logging;Euro IV/V/VI;DPF;EGR;SCR;Extended drain",https://shop.sclubricants.com/pub/media/pds/shell/Shell-Rotella-T4-Triple-Protection-15W-40-datasheet.pdf,https://shop.sclubricants.com/pub/media/pds/shell/Shell-Rotella-T4-Triple-Protection-15W-40-datasheet.pdf
Shell,Advance Ultra 4T 10W-60,10W-60,NA,NA,JASO MA2,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,JASO MA2;API SL,"High performance motorcycles;4-stroke;Racing;Track use;Superbikes;Sport bikes;Wet clutch compatible;Water-cooled engines",https://www.shell.co.za/motorists/oils-lubricants/advance-for-motorcycles/advance-4-stroke-motorcycle-oil.html,https://www.scribd.com/document/624360664/TDS-Advance-4T-AX7-10W-40-SLMA2
Shell,Advance Ultra 2T,NA,NA,NA,NA,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,JASO FD;ISO-L-FD,"2-stroke high performance motorcycles;Racing;Water-cooled;Air-cooled;Oil injection;Premix systems;Off-road racing",https://www.shell.co.za/motorists/oils-lubricants/advance-for-motorcycles/advance-4-stroke-motorcycle-oil/_jcr_content/root/main,https://www.shell.co.za/motorists/oils-lubricants/advance-for-motorcycles/advance-4-stroke-motorcycle-oil/_jcr_content/root/main
Shell,Helix Ultra Racing 10W-60,10W-60,NA,A3/B4,-,Automobile,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,BMW LL-01;MB 229.5;VW 502.00;Fiat 9.55535-G2;Ferrari,"BMW M series;Mercedes-Benz AMG;Ferrari;Maserati;Aston Martin;High performance;Track use;Racing engines;Turbocharged",https://www.shell.com/motorist/oils-lubricants/helix-for-cars/shell-helix-ultra/shell-helix-ultra-5w-30.html,https://www.epc.shell.com/DocumentRetrieve?documentId=95895254
Shell,Rimula R6 LME 10W-30,10W-30,NA,NA,-,Poids Lourd;Agricole,Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,Volvo VDS-4;MAN 3575;MB 228.51;MTU Type 3;Scania LA;Cummins 20081,"Heavy-duty trucks;Buses;Long drain intervals;Fuel economy;Agricultural equipment;Construction machinery;Mining;Euro IV/V/VI;DPF;EGR;SCR",https://www.epc.shell.com/DocumentRetrieve?documentId=127051496&docType=.pdf,https://www.epc.shell.com/DocumentRetrieve?documentId=127051496&docType=.pdf
TotalEnergies,Quartz 9000 Energy 5W-40,5W-40,SN/CF,A3/B4,-,Automobile,Essence;Diesel;LPG,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,VW 502.00/505.00;MB 226.5/229.5;Porsche A40;Fiat 9.55535-G2/N2/Z2;BMW LL-01,"Passenger cars;SUVs;Light commercial vehicles;Direct injection;Turbocharged;Multi-valve",https://lubricants.catalog.totalenergies.com/in/en_UK/nct_quartz-9000-energy-5w-40,https://barady.ro/wp-content/uploads/2022/02/FT-total_quartz_9000_energy_5w-40_nct_202009_en.pdf
TotalEnergies,Quartz Ineo RCP 5W-30,5W-30,NA,NA,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,Stellantis FPW9.55535/03;PSA B71 2290/2297,"Passenger cars;Light commercial vehicles;1.5 BlueHDi;1.2 PureTech;Stellantis engines",https://olejspol.cz/media/1d/c8/32/1759922897/TDS_TotalEnergies_Quartz-Ineo-RCP-5W-30_YIV_EN.pdf,https://olejspol.cz/media/1d/c8/32/1759922897/TDS_TotalEnergies_Quartz-Ineo-RCP-5W-30_YIV_EN.pdf
TotalEnergies,Quartz 9000 Future GF 5W-30,5W-30,NA,NA,-,Automobile,Essence;Diesel;Hybrid,NULL,NULL,NULL,NULL,TRUE,TRUE,TRUE,ACEA C1;Fiat 9.55535-S1;Ford WSS-M2C950-A1;Jaguar Land Rover STJLR 03.5005;Volvo RBS0-2AE,"Fiat Group;Ford;Jaguar;Land Rover;Volvo;Hybrid vehicles;Fuel economy;Low SAPS;DPF compatible",https://lubricants.catalog.totalenergies.com/in/en_UK/nct_quartz-9000-energy-5w-40,https://barady.ro/wp-content/uploads/2022/02/FT-total_quartz_9000_energy_5w-40_nct_202009_en.pdf
TotalEnergies,Quartz Ineo ECS 5W-30,5W-30,NA,C2,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,ACEA C2;Fiat 9.55535-S1;PSA B71 2290,"PSA Group;Peugeot;Citroën;DS;Fiat;Alfa Romeo;Lancia;Mid SAPS;DPF compatible;Fuel economy",https://mygt.ru/_upload/MSDS/TOTAL/TOTAL%20Quartz%209000%20Energy%205W-40.pdf,https://pouliotpiecesautos.com/wp-content/uploads/2020/02/QUARTZ-9000-ENERGY-5W-40-FT-TOT.pdf
TotalEnergies,Quartz Ineo Long Life 5W-30,5W-30,NA,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,VW 504 00/507 00;BMW LL-04;MB 229.51;Porsche C30;Renault RN0700/0710,"VW Group;Audi;Porsche;BMW;Mercedes-Benz;Renault;Volvo;Jaguar Land Rover;Long-life service;DPF",https://mygt.ru/_upload/MSDS/TOTAL/TOTAL%20Quartz%209000%20Energy%205W-40.pdf,https://pouliotpiecesautos.com/wp-content/uploads/2020/02/QUARTZ-9000-ENERGY-5W-40-FT-TOT.pdf
TotalEnergies,Quartz 5000 10W-40,10W-40,SN/CF,A3/B3;A3/B4,-,Automobile;Poids Lourd,Essence;Diesel;LPG;CNG,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,VW 501.01/505.00;MB 229.1;Renault RN0710/0700;Fiat 9.55535-G1,"VW Group;Mercedes-Benz;Renault;Fiat;Alfa Romeo;Lancia;Passenger cars;Light commercial vehicles;LPG/CNG compatible",https://fr.scribd.com/document/438676827/Quartz-3000-pdf,https://fr.scribd.com/document/438676827/Quartz-3000-pdf
TotalEnergies,Rubia TIR 6400 10W-30,10W-30,NA,NA,-,Poids Lourd;Agricole,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,Volvo VDS-4.5;MAN 3575;Scania LA;MB 228.51;MTU Type 3.1;Cummins 20081,"Heavy-duty trucks;Buses;Commercial vehicles;Agricultural equipment;Construction machinery;Euro IV/V/VI;DPF;EGR;SCR",https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf,https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf
TotalEnergies,Rubia TIR 7400 FE 5W-30,5W-30,NA,NA,-,Poids Lourd,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,Volvo VDS-4.5;MAN 3575;Scania LA;MB 228.51;MTU Type 3.1;Cummins 20081;DAF;IVECO;Renault Trucks;UD Trucks,"Heavy-duty trucks;Buses;Commercial fleet;Fuel economy;Extended drain;DPF;EGR;SCR;Euro IV/V/VI",https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf,https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf
TotalEnergies,Hydrelfeed MV 10W-30,10W-30,NA,NA,-,Agricole,Diesel;Hydraulic,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NA,"Agricultural tractors;Combine harvesters;Farm machinery;Hydraulic systems;Transmissions;Wet brakes;Power take-off;Common sump applications",https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf,https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf
TotalEnergies,Hydreltrans 830,NA,NA,NA,-,Agricole,NA,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,JDM J20C;NH 520;Fiat FNHA-2-E-161.1,"Agricultural tractors;Combine harvesters;Hydraulic systems;Transmissions;Wet brakes;Power steering;Common sump;Farm equipment;Universal tractor transmission oil",https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf,https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf
TotalEnergies,Rubia TIR 9900 FE 5W-30,5W-30,NA,NA,-,Poids Lourd,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,Volvo VDS-4.5;MAN 3575;MB 228.51;MTU Type 3.1;Cummins 20081;Scania LA;Renault Trucks RLD-3;DAF;IVECO;UD Trucks,"Heavy-duty trucks;Buses;Commercial fleet;Fuel economy;Extended drain;Euro IV/V/VI;DPF;EGR;SCR;Low emissions",https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf,https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf
TotalEnergies,Arevia 10W-30,10W-30,NA,NA,-,Agricole,Diesel;Hydraulic,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NA,"Agricultural tractors;Combine harvesters;Farm machinery;Hydraulic systems;Transmissions;Wet brakes;Power take-off;Differentials;Common sump",https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf,https://agri.lubrifiants.totalenergies.fr/wp-content/uploads/sites/2/2021/07/brochure-lub-agri.pdf
TotalEnergies,Quartz Racing 10W-40,10W-40,NA,NA,-,Automobile;Moto,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,API SN;ACEA A3/B4,"Racing cars;Rally;Track use;High performance;Turbocharged;Naturally aspirated;Racing motorcycles;4-stroke",https://lubricants.catalog.totalenergies.com/in/en_UK/nct_quartz-9000-energy-5w-40,https://barady.ro/wp-content/uploads/2022/02/FT-total_quartz_9000_energy_5w-40_nct_202009_en.pdf
Motul,8100 X-CLEAN+ 5W-30,5W-30,NA,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,BMW LL-04;MB 229.51;Porsche C30;VW 504 00/507 00,"Passenger cars;SUVs;Euro 4/5/6 engines;BMW;Mercedes;Porsche;VAG group",https://www.motul.com/en-US/products/17720,https://azupim01.motul.com/media/motulData/DO/base/8100_x-clean__5w-30_en_fr_motultech_17720_20221213.pdf
Motul,8100 X-CESS GEN2 5W-40,5W-40,NA,A3/B4,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,MB 229.5;VW 502.00/505.00;Porsche A40;Renault RN0700/0710,"Passenger cars;SUVs;High performance engines;Turbocharged;Direct injection",https://azupim01.motul.com/media/motulData/DO/base/8100_x-cess_gen2_5w-40_en_fr_motul_20200423.pdf,https://azupim01.motul.com/media/motulData/DO/base/8100_x-cess_gen2_5w-40_en_fr_motul_20200423.pdf
Motul,300V COMPETITION 5W-40,5W-40,NA,NA,-,Automobile;Moto,Essence;Diesel;E85,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,NA,"Racing cars;Rally;GT;Historic racing;Turbocharged;Supercharged;Direct injection;Biofuel compatible",https://www.motul.com/en-US/products/13311,https://azupim01.motul.com/media/motulData/DO/base/300V_COMP_5W-40_en_FR_motul_13311_20210916.pdf
Motul,300V 4T FACTORY LINE 10W-40,10W-40,NA,NA,MA2,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,NA,"Racing motorcycles;4-stroke;High performance;Wet clutch compatible",https://azupim01.motul.com/media/motulData/DO/base/300V_4T_Factory_Line_10W-40__en_FR_motul_20210324.pdf,https://azupim01.motul.com/media/motulData/DO/base/300V_4T_Factory_Line_10W-40__en_FR_motul_20210324.pdf
Motul,TEKMA ULTIMA 5W-30 LS,5W-30,NA,NA,-,Poids Lourd;Automobile,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 228.51;MAN 3575;Cummins 20081;Volvo VDS-4.5;Renault Trucks RLD-3;DAF;Scania;IVECO;FPT 9.55647;CAT ECF-3;JASO DH-2,"Heavy-duty trucks;Buses;Commercial vehicles;Pick-up trucks;Light commercial vehicles;Euro IV/V/VI;DPF;SCR;EGR;Low SAPS;Fuel economy;Extended drain",https://azupim01.motul.com/media/motulData/DO/base/tekma_ultima_5w-30_ls_en_fr_motul_70804_20250327.pdf,https://azupim01.motul.com/media/motulData/DO/base/tekma_ultima_5w-30_ls_en_fr_motul_70804_20250327.pdf
Motul,POWER LCV EURO+ 5W-40,5W-40,NA,NA,-,Automobile;Poids Lourd,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 229.51;VW 504 00/507 00;BMW LL-04;Renault RN0700/0710;Fiat 9.55535-S1,"Light commercial vehicles;Vans;Pick-up trucks;SUVs;Diesel passenger cars;DPF;Euro IV/V/VI;Fleet applications",https://azupim01.motul.com/media/motulData/DO/base/POWER_LCV_EURO__5W-40__ru_RU_motul_11920_20211229.pdf,https://azupim01.motul.com/media/motulData/DO/base/POWER_LCV_EURO__5W-40__ru_RU_motul_11920_20211229.pdf
Motul,SPECIFIC 17 5W-30,5W-30,NA,C3,-,Automobile;Poids Lourd,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,Renault RN17;MB 226.52,"Renault Group vehicles (Renault/Dacia/Samsung);Mercedes-Benz vehicles with Renault engines;Passenger cars;Light commercial vehicles;Euro 6d;DPF compatible",https://azupim01.motul.com/media/motulData/DO/base/SPECIFIC_17_5W-30_fr_FR_motul_59632_20211229.pdf,https://azupim01.motul.com/media/motulData/DO/base/SPECIFIC_17_5W-30_fr_FR_motul_59632_20211229.pdf
